step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,buffer_init_steps,tau,steps_per_update,steps_per_update.1,init_entcoef,reward_signal_steps_per_update,policy_entropy,losses_policy_loss,losses_value_loss
10000,0.0,-0.364,,22.5,664.3140625,894.640625,14.764,183.7,910.22625,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2957680225372314,,
20000,0.0,0.0,,37.324,771.9888671875,980.125,9.2275,183.7,886.70244140625,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2957656383514404,,
30000,0.0,0.0,,38.113,777.7892530487804,1009.8046875,9.002439024390245,183.7,885.7461890243902,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,,,
40000,0.0,0.054,,64.237,910.3009561567164,1216.05078125,5.508955223880597,183.7,870.8804804104477,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.286954641342163,0.01667022705078125,0.0009018864366225898
50000,0.0,-0.163,,70.905,924.7443279109588,1216.05078125,5.0561643835616445,183.7,875.4447773972603,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.287198781967163,,
60000,0.0,0.072,,90.514,971.8914650537636,1229.7421875,3.968817204301076,183.7,873.6661626344086,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.28741717338562,0.012652932666242123,0.0021954402327537537
70000,0.0,0.19,,98.994,984.7997370049504,1229.7421875,3.6544554455445546,183.7,870.4695235148515,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.281667947769165,,
80000,0.0,0.113,,115.829,1007.6620431673728,1229.7421875,3.1279661016949154,183.7,865.115830243644,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.27347469329834,0.01856253668665886,0.0008699211175553501
90000,0.0,0.025,,124.672,1016.2299151082676,1229.7421875,2.9062992125984253,183.7,862.843811515748,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.272547483444214,,
100000,0.0,-0.055,,143.225,1033.3644935344828,1236.12890625,2.5455172413793106,183.7,865.2019396551724,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2626914978027344,0.019479067996144295,0.0028059298638254404
110000,0.0,-0.302,,155.82,1041.9892701740507,1236.12890625,2.3360759493670886,183.7,866.9142355617089,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2500345706939697,,
120000,0.0,-0.167,,168.616,1051.909099264706,1236.12890625,2.1711764705882355,183.7,868.8225873161765,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2524542808532715,0.012891575694084167,0.0036830895114690065
130000,0.0,0.225,,180.358,1055.62109375,1236.12890625,2.0280219780219784,183.7,870.4136976304945,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.261004686355591,,
140000,0.0,-0.201,,195.272,1063.030853426396,1239.25390625,1.8736040609137057,183.7,867.998334390863,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2412736415863037,0.015680456534028053,0.002322004409506917
150000,0.0,-0.179,,205.218,1065.094089673913,1239.25390625,1.7830917874396135,183.7,866.05680102657,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2432992458343506,,
160000,0.0,0.342,,222.902,1071.7483084542412,1239.25390625,1.6477678571428571,183.7,863.0461948939732,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2211596965789795,0.012868031859397888,0.0037736622616648674
170000,0.0,-0.245,,233.209,1073.7568609775642,1239.25390625,1.5773504273504275,183.7,861.4134448450855,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.223080635070801,,
180000,0.0,-0.095,,248.696,1080.284890625,1239.77734375,1.4764000000000002,183.7,859.072734375,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.225506067276001,0.01502394862473011,0.0030284859240055084
190000,0.0,-0.358,,260.796,1083.8597030057251,1239.77734375,1.4087786259541986,183.7,857.5048157204199,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.208571672439575,,
200000,0.0,0.041,,269.413,1086.7680555555555,1239.77734375,1.367037037037037,183.7,856.536964699074,1105.86328125,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2111945152282715,,
